ID;name;catalognumber;cena brutto;ID regula podatkowa;ID kategorii;inInventory;picture;description;attributes
130;Lampa stołowa nowoczesna Aria  ARI4046 - Dar Lighting;ARI4046;602.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/images/DAR/1200/mini/450px_ARI4046.jpg;Lampa stołowa nowoczesna Aria ARI4046to połączenie funkcjonalnego wykonania z subtelnym designem. Renomowany, brytyjski producentDar Lightingoferuje indywidualne podejście, modernistyczne wzornictwo z precyzyjnym wykończeniem. Wyrafinowana forma w kolorze chromu nada rewelacyjnego efektu wizualnego zachwycając delikatnością i oryginalnością. Zintegrowane źródło światła typu LED gwarantuje niebywale atrakcyjne oświetlenie i energooszczędność. Interesująca propozycja podkreśli klimatyczny nastrój i przyjemną atmosferę w pomieszczeniu. Lampa stołowaAriadoskonale dopełni aranżację sypialni, jadalni, biura czy pokoju dziennego jako minimalistyczna dekoracja i dodatkowy punkt oświetlenia.;Wysokość:62 cm,Szerokość:33 cm,Materiał:Metal,Kolor:Chrom,Trzonek:Moduł LED,Moc żarówki:5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
131;Lampa stołowa nowoczesna Gettis  GET4146 - Dar Lighting;GET4146;639.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/images/DAR/1200/mini/450px_GET4146.jpg;Lampa stołowa nowoczesna Gettis GET4146to połączenie funkcjonalnego wykonania z subtelnym designem. Renomowany, brytyjski producentDar Lightingoferuje indywidualne podejście, modernistyczne wzornictwo z precyzyjnym wykończeniem. Wyrafinowana forma w srebrnym kolorze nada rewelacyjnego efektu wizualnego zachwycając delikatnością i oryginalnością. Zintegrowane źródło światła typu LED gwarantuje niebywale atrakcyjne oświetlenie i energooszczędność. Interesująca propozycja podkreśli klimatyczny nastrój i przyjemną atmosferę w pomieszczeniu. Lampa stołowaGettisdoskonale dopełni aranżację sypialni, jadalni, biura czy pokoju dziennego jako minimalistyczna dekoracja i dodatkowy punkt oświetlenia.;Wysokość:60 cm,Szerokość:16 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:4W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Nie,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
132;Lampa stołowa SELLANO 93901 - Eglo;93901/Eglo;469.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_93901.jpg;Lampa stołowa SELLANO 93901 - Eglo;Wysokość:43 cm,Szerokość:18 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
133;Lampa stołowa Semeriza 61072/B - ONE Light;61072/B;202.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/ONELIGHT/mini/450px_61072-B.jpg;61072/B czarna lampa biurkowa z gniazdem USB oraz bezstopniowym ściemnianiem 6W;Wysokość:34 cm,Szerokość:17x10,5 cm,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
134;Lampa stołowa Semeriza 61072/W - ONE Light;61072/W;202.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/ONELIGHT/mini/450px_61072-W.jpg;61072/W biała lampa biurkowa z gniazdem USB oraz bezstopnionym ściemnianiem 6W;Wysokość:34 cm,Szerokość:17x10,5 cm,Materiał:Tworzywo sztuczne,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
135;Lampa stołowa SNAPORA 94677 - Eglo;94677/Eglo;299.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_94677.jpg;Lampa stołowa SNAPORA 94677 - Eglo;Wysokość:48,5 cm,Szerokość:11 cm,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:3,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
136;Lampa stołowa SNAPORA 94678 - Eglo;94678/Eglo;329.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_94678.jpg;Lampa stołowa SNAPORA 94678 - Eglo;Wysokość:48,5 cm,Szerokość:11 cm,Materiał:Tworzywo sztuczne,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:3,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
137;Lampa stołowa srebrna Wellington WEL4046 - Dar Lighting;WEL4046;778.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/images/DAR/1200/mini/450px_WEL4046.jpg;Lampa stołowa srebrna Wellington WEL4046to połączenie funkcjonalnego wykonania z nowoczesnym designem. Renomowany, brytyjski producentDar Lightingoferuje indywidualne podejście, modernistyczne wzornictwo z precyzyjnym wykończeniem. Wyrafinowana forma w subtelnej kolorystyce nada rewelacyjnego efektu wizualnego zachwycając delikatnością i oryginalnością. Zintegrowane źródło światła typu LED gwarantuje niebywale atrakcyjne oświetlenie i energooszczędność. Interesująca propozycja podkreśli klimatyczny nastrój i przyjemną atmosferę w pomieszczeniu. Lampa stołowaWellingtondoskonale dopełni aranżację sypialni, jadalni, biura czy pokoju dziennego jako minimalistyczna dekoracja i dodatkowy punkt oświetlenia.;Wysokość:40 cm,Szerokość:38 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:7W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
138;Lampa stołowa STATEN 80630- Endon;80630/END;1160.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//Endon/2019/mini/450px_80630.jpg;Lampa stołowa STATEN 80630to połączenie unikalnego designu z klasyką, elegancją i wysoką jakością materiałów. Brytyjski producentEndonoferuje nowoczesny styl, interesujące wzornictwo z precyzyjnym wykończeniem. Geometryczna konstrukcja w stonowanej kolorystyce z łatwością dopasuje się do każdej aranżacji zachwycając subtelnością i wdziękiem. Istotną zaletą jest perfekcyjne rozszczepienie światła zapewniając pięknie rozświetlone pomieszczenie. Zintegrowane źródło światła typu LED gwarantuje niebywale efektowne oświetlenie i energooszczędność. Lampa stołowaStatendoskonale sprawdzi się w przestrzeni domowej, biurowej czy komercyjnej.;Wysokość:39,5 cm,Szerokość:18 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Tak,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
139;Lampa stołowa Stuttgart 631036401 - DeMarkt;631036401;559.92;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/media/catalog/product/6/3/mini/450px_631036401.jpg;Lampa stołowa Stuttgart 631036401 - DeMarkt;Wysokość:55 cm,Szerokość:19 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:6,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
